Date,equity
2025-12-08,-2866.432008949245
2025-12-09,-1448.1978033844043
2025-12-10,-211.0420384870522
2025-12-11,-10422.70560124531
2025-12-12,-15723.902194617962
2025-12-15,-18141.055269931225
2025-12-16,-24289.09778372521
2025-12-17,-28079.21165425941
2025-12-18,-28079.21165425941
2025-12-19,-33260.642606293135
2025-12-22,-41456.171681487715
2025-12-23,-43063.28334175034
2025-12-24,-46444.390660717974
2025-12-26,-46444.390660717974
2025-12-29,-45405.758646553404
2025-12-30,-48446.08018425035
2025-12-31,-40830.15345152173
2026-01-01,-40814.961366974894
2026-01-02,-46965.178940767255
2026-01-05,-46847.461973739904
2026-01-06,-48717.586567803504
2026-01-07,-51014.55074770117
2026-01-08,-31605.51519750413
2026-01-09,-23944.76798586372
2026-01-12,-38380.45962152616
2026-01-13,-42124.776306353466
2026-01-14,-46339.262789813685
2026-01-16,-46339.262789813685
2026-01-19,-44865.68651848736
2026-01-20,-31460.970191249
2026-01-21,-30016.698486706948
2026-01-22,-39605.51490364182
2026-01-23,-29613.2384431045
2026-01-27,-39751.50048640111
2026-01-28,-33843.4242416195
2026-01-29,-29735.720855384345
2026-01-30,-26866.548694784928
2026-02-02,-9558.610992937742
2026-02-03,-11484.975885847372
2026-02-04,-8569.4171038052
2026-02-05,-18894.686846864213
2026-02-06,-21441.005126434127
2026-02-09,-29401.549633270493
2026-02-10,-28128.629084190285
2026-02-11,-30810.075926705707
2026-02-12,-30810.075926705707
2026-02-13,-15988.756764552949
2026-02-16,-37683.81791810968
2026-02-17,-37773.24986443179
2026-02-18,-33530.12856185484
2026-02-19,-52821.83834374443
2026-02-20,-57230.31182508632
2026-02-23,-64122.326622049215
2026-02-24,-72718.74445073341
2026-02-25,-72179.64282164382
2026-02-26,-73847.39157701994
2026-02-27,-59781.51511270827
2026-03-02,-25778.294004934345
2026-03-04,31872.043508915463
2026-03-05,-10260.872979473941
2026-03-06,3356.024832628402
2026-03-09,52325.7082296778
2026-03-10,29579.542512856628
2026-03-11,62629.561533294065
2026-03-12,97441.26711448382
2026-03-13,122792.90710688426
2026-03-16,96607.58385500127
2026-03-17,93523.05444523314
2026-03-18,114453.13542122881
2026-03-19,71443.3027812414
2026-03-20,67266.8942356565
2026-03-23,100813.27391466935
2026-03-24,95904.91322871321
2026-03-25,133882.93210349474
2026-03-27,133882.93210349474
2026-03-30,159035.75684864935
2026-04-01,134641.60224254953
2026-04-02,134641.60224254953
2026-04-06,134641.60224254953
2026-04-07,141045.8742746154
2026-04-08,264465.1159907528
2026-04-09,230512.6193779344
2026-04-10,222344.80437471205
2026-04-13,229189.70915536556
2026-04-15,212476.42332881177
2026-04-16,212476.42332881177
2026-04-17,207058.07724225335
2026-04-20,203716.15147597188
2026-04-21,213328.88841698668
2026-04-22,194668.81998791048
2026-04-23,194668.81998791048
2026-04-24,205987.38401762056
2026-04-27,186056.28034299318
2026-04-28,181351.250307254
2026-04-29,188919.95533081214
2026-04-30,174548.11405739954
2026-05-04,174548.11405739954
2026-05-05,169805.33152248926
2026-05-06,185030.30804294493
2026-05-07,184218.1725737625
2026-05-08,189884.46115538798
2026-05-11,228318.4694802197
2026-05-12,284383.95886972646
2026-05-13,279282.0500474929
2026-05-14,238380.4335557833
2026-05-15,239372.46023698605
2026-05-18,233235.33700847402
2026-05-19,230433.54873289258
2026-05-20,230237.4281254261
2026-05-21,226963.15891159183
2026-05-22,224114.85961061536
2026-05-25,215322.54665764837
2026-05-26,210295.00345595987
2026-05-27,207930.47897652516
2026-05-29,207930.47897652516
2026-06-01,212554.73014381112
2026-06-02,209161.11164580256
2026-06-03,199384.69549923594
2026-06-04,199384.69549923594
2026-06-05,200426.10428254443
2026-06-08,219076.41547303676
2026-06-09,207953.28290647795
2026-06-10,202420.19606356477
2026-06-11,206074.07206683417
2026-06-12,196747.3430245837
2026-06-15,188850.9981321322
2026-06-16,193705.3439967038
2026-06-17,200718.12445673204
2026-06-18,210020.59813404668
2026-06-19,215419.55151295685
2026-06-22,203187.51094326537
2026-06-23,195333.9920274399
2026-06-24,204780.98095984652
2026-06-25,206649.23884552874
2026-06-29,206649.23884552874
2026-06-30,202349.9691238093
2026-07-01,207740.9753551877
2026-07-02,219224.62493746373
2026-07-03,215270.28209514928
2026-07-06,208262.22840414644
2026-07-07,205505.50620968067
2026-07-08,198472.79522472635
2026-07-09,198472.79522472635
2026-07-10,191516.6806300239
2026-07-13,188442.65193288014
2026-07-14,182022.76360195386
2026-07-15,181001.3655657329
2026-07-16,181001.3655657329
2026-07-17,173917.5598178312
2026-07-20,175084.1909813483
2026-07-21,173236.28644658814
2026-07-22,179525.76124185012
2026-07-23,189293.2870824025
2026-07-24,192382.95043558365
2026-07-27,174196.86650620942
2026-07-28,172143.79971531185
2026-07-29,185081.66836404035
2026-07-30,189515.1755132759
2026-07-31,186646.55175578324
2026-08-03,176097.22581881826
2026-08-04,169336.833150171
2026-08-05,167585.92939297805
2026-08-06,167585.92939297805
2026-08-07,169336.91917889178
2026-08-10,162520.7993117757
2026-08-11,157528.34102208604
2026-08-12,153986.04471474906
2026-08-13,153986.04471474906
2026-08-14,154303.2871848457
