Date,equity
2025-12-09,34982.00318685975
2025-12-10,30306.764786443666
2025-12-11,30306.764786443666
2025-12-12,25005.568193071013
2025-12-15,25005.568193071013
2025-12-16,18857.525679277027
2025-12-17,15067.41180874283
2025-12-18,15067.41180874283
2025-12-19,9885.980856709106
2025-12-22,9885.980856709106
2025-12-23,8278.86919644648
2025-12-24,4897.761877478846
2025-12-26,4897.761877478846
2025-12-29,4897.761877478846
2025-12-30,2987.3301570451567
2025-12-31,10603.256889773778
2026-01-01,10618.448974320612
2026-01-02,4468.2314005282515
2026-01-05,4468.2314005282515
2026-01-06,191.0516447992486
2026-01-07,-3284.195974846758
2026-01-08,-3284.195974846758
2026-01-09,4376.551236793652
2026-01-12,-3521.581444501586
2026-01-13,-7265.898129328885
2026-01-14,-11480.384612789108
2026-01-16,-11480.384612789108
2026-01-19,-11480.384612789108
2026-01-20,-19635.951255740227
2026-01-21,-23988.5056100067
2026-01-22,-23988.5056100067
2026-01-23,-13996.229149469378
2026-01-27,-24134.491192765996
2026-01-28,-18226.414947984384
2026-01-29,-14118.711561749229
2026-01-30,-11249.53940114981
2026-02-02,-1461.5906314451659
2026-02-03,14335.695618720994
2026-02-04,17251.25440076317
2026-02-05,6925.9846577041535
2026-02-06,4379.6663781342395
2026-02-09,4379.6663781342395
2026-02-10,5652.586927214448
2026-02-11,2971.1400846990236
2026-02-12,2971.1400846990236
2026-02-13,17792.45924685178
2026-02-16,4187.753559944073
2026-02-17,4098.321613621962
2026-02-18,8341.442916198908
2026-02-19,-10950.266865690677
2026-02-20,-15358.740347032566
2026-02-23,-15358.740347032566
2026-02-24,-23955.158175716773
2026-02-25,-23416.056546627173
2026-02-26,-25083.805302003297
2026-02-27,-11017.928837691628
2026-03-02,9415.686609048447
2026-03-04,38874.55598024821
2026-03-05,17810.107847515195
2026-03-06,31427.00565961754
2026-03-09,59859.98393128688
2026-03-10,52882.18447028607
2026-03-11,58039.461909231315
2026-03-12,75447.4975122949
2026-03-13,100799.13750469533
2026-03-16,83206.03873980556
2026-03-17,80121.50933003743
2026-03-18,101051.5903060331
2026-03-19,58041.75766604569
2026-03-20,53865.34912046079
2026-03-23,53865.34912046079
2026-03-24,76939.57007481306
2026-03-25,129719.50118601666
2026-03-27,129719.50118601666
2026-03-30,129719.50118601666
2026-04-01,129719.50118601666
2026-04-02,129719.50118601666
2026-04-06,129719.50118601666
2026-04-07,136123.77321808253
2026-04-08,259543.01493421994
2026-04-09,225590.51832140153
2026-04-10,217422.70331817918
2026-04-13,217422.70331817918
2026-04-15,217422.70331817918
2026-04-16,217422.70331817918
2026-04-17,212004.35723162076
2026-04-20,212004.35723162076
2026-04-21,221617.09417263555
2026-04-22,202957.02574355935
2026-04-23,202957.02574355935
2026-04-24,214275.58977326943
2026-04-27,202291.7623579666
2026-04-28,197586.7323222274
2026-04-29,205155.43734578555
2026-04-30,190783.59607237295
2026-05-04,190783.59607237295
2026-05-05,186040.81353746267
2026-05-06,201265.79005791835
2026-05-07,200453.65458873592
2026-05-08,206119.9431703614
2026-05-11,227422.11931017422
2026-05-12,251249.40234172688
2026-05-13,248303.55778066168
2026-05-14,227853.7514247706
2026-05-15,228845.77810597335
2026-05-18,225798.24033636172
2026-05-19,222996.45206078028
2026-05-20,222800.3314533138
2026-05-21,219526.06223947954
2026-05-22,216677.76293850306
2026-05-25,216677.76293850306
2026-05-26,211650.21973681456
2026-05-27,209285.69525737985
2026-05-29,209285.69525737985
2026-06-01,209285.69525737985
2026-06-02,212047.11707974153
2026-06-03,202270.7009331749
2026-06-04,202270.7009331749
2026-06-05,203312.1097164834
2026-06-08,213263.8460496157
2026-06-09,209682.70975426777
2026-06-10,204149.6229113546
2026-06-11,207803.498914624
2026-06-12,198476.76987237355
2026-06-15,198476.76987237355
2026-06-16,203331.11573694512
2026-06-17,210343.8961969734
2026-06-18,219646.36987428804
2026-06-19,225045.3232531982
2026-06-22,218386.76004826807
2026-06-23,210533.2411324426
2026-06-24,219980.23006484922
2026-06-25,221848.48795053145
2026-06-29,221848.48795053145
2026-06-30,217549.218228812
2026-07-01,222940.2244601904
2026-07-02,234423.87404246643
2026-07-03,230469.53120015198
2026-07-06,230469.53120015198
2026-07-07,227712.8090056862
2026-07-08,220680.09802073188
2026-07-09,220680.09802073188
2026-07-10,213723.98342602944
2026-07-13,213723.98342602944
2026-07-14,207304.09509510317
2026-07-15,206282.69705888222
2026-07-16,206282.69705888222
2026-07-17,199198.8913109805
2026-07-20,199198.8913109805
2026-07-21,195808.75881703445
2026-07-22,189828.58562507504
2026-07-23,189828.58562507504
2026-07-24,192918.2489782562
2026-07-27,182749.7815639701
2026-07-28,180696.7147730725
2026-07-29,193634.583421801
2026-07-30,198068.09057103656
2026-07-31,195199.4668135439
2026-08-03,195199.4668135439
2026-08-04,188439.07414489664
2026-08-05,186688.1703877037
2026-08-06,186688.1703877037
2026-08-07,188439.16017361742
2026-08-10,185033.24541530266
2026-08-11,180040.787125613
2026-08-12,176498.490818276
2026-08-13,176498.490818276
2026-08-14,176815.73328837266
